,deltaT,CO2,T_amb_g24
mean,-14.496561343723636,959.5690211898736,8.427321322675754
scale,6.732558453164375,547.6859706839139,6.523999566296544
coeff,0.3229688347919561,-1.020363335920199,0.28264267277265487
intercept,-0.2787681192496434,,
